RPTID	YR	NAME	OPID	OSTREET	OCITY	OCOUNTY	OSTATE	OZIP	HSTREET	HCITY	HCOUNTY	HSTATE	HZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM	CS	TM	TS	OM	OS	CDM	CDS	MDM	MDS	OTHM	OTHS	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC
19901506	1990	"ABBYVILLE, CITY OF"	18	P O BOX 100	ABBYVILLE	RENO	KS	67510						KS	0	0	0	3	0	0	0	0	0	0	3	0	0	0	66	0	0	0	0	0	0	66	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			DEBRA EHLING	3162865404	6/30/1992	
19900095	1990	ABITA SPRINGS NAT GAS & WATER	27	LEVEL STREET	ABITA SPRINGS	ST. TAMMANY	LA	70420						LA	0	0	0	25	0	0	0	0	0	0	25	0	0	0	509	0	0	0	0	0	0	509	0	23	2	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	0	25	25	0	509	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	0	509	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4		BARBARA GIANCONTIERI	5048920711	2/5/1991	2/5/1991
19900947	1990	"ADAIRSVILLE, CITY OF"	45	P.O. BOX 830	ADAIRSVILLE	BARTOW	GA	30103						GA	0	0	0	34	8	0	0	0	0	0	42	0	0	521	95	285	0	0	0	0	0	901	0	11	22	1	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	22	1	0	0	42	100	0	616	0	0	0	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	1	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1	0	0	0	901	0	2	0	14	0	2	0	0	0	0	0	0	0	0	0		CHRIS STRIPPELHOFF - CONSULTANT	4044221902	5/8/1991	
19901193	1990	"ADAMSVILLE GAS DEPT, TOWN OF"	49	231 EAST MAIN STREET	ADAMSVILLE	MCNAIRY	TN	38310						TN	0	0	0	85	13	0	0	0	0	0	98	0	0	0	644	287	0	0	0	0	0	931	0	68	17	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	17	0	0	0	98	100	0	644	0	0	0	0	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931	0	0	0	0	931	0	0	0	0	2	7	0	0	0	0	0	0	0	0	3.8		"E. GEORGE LECKNER, JR. - GAS SYSTEM ANALYST"	9016324214	6/26/1991	
19900948	1990	"ADEL GAS DEPT, CITY OF"	54	CITY HALL - P.O. BOX 658	ADEL	COOK	GA	31620						GA	0	0	0	26	5	0	0	0	0	0	31	0	0	0	754	220	0	0	0	0	0	974	0	20	5	1	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	5	1	0	0	31	95	0	744	10	0	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964	10	0	0	0	974	0	1	0	0	0	2	0	0	0	3	0	2	0	0	3.5		CHRIS STRIPPELHOFF - CONSULTANT	4044221902	5/8/1991	
19901509	1990	AGENDA GAS SYSTEM	72		AGENDA	REPUBLIC	KS							 	0	0	0	3	0	0	0	0	0	0	3	0	0	0	74	0	0	0	0	0	0	74	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	74	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		ALMA L SCHULZ	9137326678	6/30/1992	
19900371	1990	AJO IMPROVEMENT CO	153	P.O. DRAWER 9	AJO	PIMA	AZ	85321						AZ	0	0	0	1	0	0	0	11	0	0	12	0	0	0	2	2	0	0	941	0	0	945	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	12	70	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	930	11	0	0	0	941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	13	0	0	0	945	0	0	0	2	0	0	0	0	0	0	6	92	93	0	12	 COPPER PIPE IS NOT CATHODICALLY PROTECTED.	JERRY TUCKER & DON CANDELARIA	6023877151	3/21/1991	
19900718	1990	ALABAMA GAS CORP	180	2101 - 6TH AVENUE NORTH	BIRMINGHAM	JEFFERSON	AL	35203						AL	209	0	530	4461	1346	1281	3	0	0	0	7830	57546	3873	89971	170629	82340	73	0	2471	0	0	406903	0	3155	1392	549	91	13	5200	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	302	562	361	32	24	1281	0	0	0	0	0	0	0	0	1037	285	24	0	0	1346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4494	2241	935	123	37	7830	113	0	263012	56990	1894	118	5	322019	0	0	0	0	0	0	0	0	2471	0	0	0	0	2471	0	0	10	37	26	0	73	0	0	0	0	0	0	0	0	79115	3099	121	5	0	82340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344598	60099	2052	149	5	406903	713	1178	0	0	349	1695	943	556	64	20	1229	1240	792	0	2.3	 *THIS INFORMATION IS INCLUDED IN OUTSIDE FORCE.  NOTE:  NUMBER OF SERVICES INSTALLED BEFORE 1954 ARE ESTIMATE.	RONALD K. TAYLOR	2053269228	4/15/1991	9/23/1991
19900436	1990	ALABASTER WATER & GAS BD	198	P.O. BOX 528	ALABASTER	SHELBY	AL	35007						AL	4	0	0	57	10	0	0	0	0	0	71	125	0	0	1603	373	0	0	0	0	0	2101	0	44	17	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	24	0	0	0	71	100	0	1653	75	0	0	0	1728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	75	0	0	0	2101	0	1	0	0	0	0	4	1	4	10	4	2	0	0	4		GREGORY W. ALLEN - MANAGER	2056636155	3/21/1991	
19900639	1990	ALBANY MUNICIPAL GAS CO	225	106 EAST CLAY STREET	ALBANY	GENTRY	MO	64402						MO	0	0	0	20	1	0	0	0	0	0	21	0	0	0	725	141	0	0	0	0	0	866	0	14	3	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	3	0	0	21	60	0	715	10	0	0	0	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	1	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	855	11	0	0	0	866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		JIM COBURN	8167263935	4/3/1991	8/8/1991
