RPTID	YR        	NAME      	OPID      	STADD     	CITY      	COUNT     	ST        	ZIP       	HSTAD     	HCITY     	HCNTY     	HST       	HZIP      	STOP      	B1M_1     	B1M_2     	B1M_3     	B1M_4     	B1M_5     	B1M_6     	B1M_7     	B1M_8     	B1M_9     	B1M_10    	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1       Integer	DIM_2       Integer	DIM_3       Integer	DIM_4       Integer	DIM_5       Integer	DIM_6       Integer	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1       Integer	DIS_2       Integer	DIS_3       Integer	DIS_4       Integer	DIS_5       Integer	DIS_6       Integer	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM1	CS1	TM1	TS1	OM1	OS1	CDM1	CDS1	MDM1	MDS1	OTHM1	OTHS1	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC
19931526	1993	"ABBYVILLE, CITY OF"	18	P O BOX 100	ABBYVILLE	RENO	KS	67510						KS	0	0	0	3	0	0	0	0	0	0	3	0	0	0	67	0	0	0	0	0	0	67	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		DEBRA EHLING	3162865404	6/3/1994	
19931596	1993	ABITA SPRINGS NAT GAS & WATER	27	LEVEL STREET	ABITA SPRINGS	ST. TAMMANY	LA	70420						LA	0	0	0	25							25	0	0	0	528							528	0	23	2				25			0				0			0				0			0				0			0				0			0				0			0				0			0				0			0				0		23	2				25	25	0	528					528		0					0		0					0		0					0		0					0		0					0		0					0		0					0		0					0		528	0				528	1		0		0		0		0	1		0	0	0	2		JOY A. HUDSPETH	5048920711	9/14/1994	
19930994	1993	"ADAIRSVILLE, CITY OF"	45	P.O. BOX 830	ADAIRSVILLE	BARTOW	GA	30103						GA	0	0	0	34	9	0	0	0	0	0	43	0	0	498	95	347	0	0	0	0	0	940	0	11	22	1	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	22	1	0	0	43	100	0	593	0	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	1	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939	1	0	0	0	940	0	6	2	0	0	0	0	0	0	12	0	0	0	0	3.5		CHRIS STRIPPELHOFF - CONSULTANT	4044221902	6/3/1994	
19931251	1993	"ADAMSVILLE GAS DEPT, TOWN OF"	49	231 EAST MAIN STREET	ADAMSVILLE	MCNAIRY	TN	38310						TN	0	0	0	97	22	0	0	0	0	0	119	0	0	0	706	507	0	0	0	0	0	1213	0	68	17	12	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	17	12	0	0	119	100	0	706	0	0	0	0	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1213	0	0	0	0	1213	0	0	0	5	0	1	0	0	0	0	0	0	0	0	3.2		E. GEORGE LECKNER JR - GAS SYSTEM ANALYST	9016324214	6/3/1994	
19930993	1993	"ADEL GAS DEPT, CITY OF"	54	P.O. BOX 658	ADEL	COOK	GA	31620						GA	0	0	0	26	7	0	0	0	0	0	33	0	0	0	743	309	0	0	0	0	0	1052	0	20	5	1	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	5	1	0	0	33	100	0	733	10	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1042	10	0	0	0	1052	0	0	0	0	0	0	0	1	0	8	0	0	4	0	0		CHRIS STRIPPELHOFF - CONSULTANT	4044221902	6/3/1994	
19931527	1993	AGENDA GAS SYSTEM	72		AGENDA	REPUBLIC	KS	66930						KS	0	0	0	3	0	0	0	0	0	0	3	0	0	0	73	0	0	0	0	0	0	73	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	73	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		ALMA L. SCHULZ	9137326678	6/3/1994	
19930297	1993	"AQUILAR, TOWN OF"	81	101 W. MAIN	AGUILAR	LAS ANIMAS	CO	81020						CO	0	0	0	19	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	20	15	0	248	2	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	2	0	0	0	250	0	1	0	0	0	0	0	0	0	3	0	2	0	0	0		JUAN E OLQUIN	7199414360	6/3/1994	
19930775	1993	AJO IMPROVEMENT CO	153	PO DRAWER 9	AJO	PIMA	AZ	85321						AZ	0	0	0	1	0	0	0	11	0	0	12	0	0	0	0	6	0	0	974	0	0	980	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	12	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	12	0	0	0	974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	13		JERRY TUCKER AND DONALD CANDELARIA	6023877151	6/3/1994	
19930937	1993	ALABAMA GAS CORP (EX. MARENGO CORP PROPERTY)	180	2101 SIXTH AVENUE NORTH	BIRMINGHAM	JEFFERSON	AL	35203						AL	68	158	503	4498	1661	1270	0	0	0	0	8158	54630	4082	89507	183222	97295	70	0	2409	0	0	431215	0	3160	1401	559	96	11	5227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	565	357	32	24	1270	0	0	0	0	0	0	0	0	1266	363	32	0	0	1661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4718	2339	948	128	35	8168	113	144689	176447	9878	383	41	3	331441	0	0	0	0	0	0	0	0	2409	0	0	0	0	2409	0	0	7	60	3	0	70	0	0	0	0	0	0	0	0	93637	3512	136	10	0	97295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144689	272493	13397	579	54	3	431215	638	927	308	1524	5	15	18	30	37	32	1804	5794	1296	0	1.3	(1) CORRECTION FROM 1992 REPORT. (2) INCLUDES 3978 ABOVE GROUND LEAKS REPORTED BY THIRD PARTY SURVEY AND CLEARED. (3) INCLUDES 452 ABOVE GROUND LEAKS REPORTED BY THIRD PARTY SURVEY.  	RONALD K. TAYLOR	2053269228	6/3/1994	8/1/1994
19930581	1993	ALABASTER WATER & GAS BD	198	PO BOX 528	ALABASTER	SHELBY	AL	35007						AL	4	57	0	10	6	0	0	0	0	0	77	125	1603	0	559	0	0	0	0	0	0	2287	0	44	17	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	30	0	0	0	77	0	0	1653	75	0	0	0	1728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	559	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2212	75	0	0	0	2287	1	0	0	0	0	0	1	1	0	0	0	1	6	0	6		GREGORY W. ALLEN	2056636155	6/3/1994	
