RPTID	YR        	LOG       	NAME      	OPID      	STADD     	CITY      	COUNT     	ST        	ZIP       	HSTAD     	HCITY     	HCNTY     	HST       	HZIP      	STOP      	B1M_1     	B1M_2     	B1M_3     	B1M_4     	B1M_5     	B1M_6     	B1M_7     	B1M_8     	B1M_9     	B1M_10    	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1       Integer	DIM_2       Integer	DIM_3       Integer	DIM_4       Integer	DIM_5       Integer	DIM_6       Integer	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1       Integer	DIS_2       Integer	DIS_3       Integer	DIS_4       Integer	DIS_5       Integer	DIS_6       Integer	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM1	CS1	TM1	TS1	OM1	OS1	CDM1	CDS1	MDM1	MDS1	OTHM1	OTHS1	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC
19950001	95	1	FLAT ROCK GAS DEPT                                	5220	202 South Main                          	FLAT ROCK                	CRAWFORD                 	IL	62427	                                        	                         	                         	  	     	IL                                      	0	0	0	6	8	0	0	0	0	0	14	0	0	0	50	214	0	0	0	0	0	264	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	8	6	0	0	0	14	50	0	50	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	264	0	0	0	0	0	15	0	0	0	0	0	0	0	0	2.5		RONALD BRANNON - UTILITY SUPT                               	6185843332	3/4/1996	3/12/1996
19950002	95	2	EVERLY MUNICIPAL GAS                              	30039	202 Main Street  P.O. Box 197           	EVERLY                   	CLAY                     	IA	51338	                                        	                         	                         	  	     	IA                                      	0	0	0	5	1	0	0	0	0	0	6	0	0	0	291	45	0	0	0	0	0	336	0	4	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	6	50	0	280	10	1	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	1	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	11	1	0	0	336	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0		BRUCE HARDEN  Manager                                       	7128342691	3/4/1996	5/1/1997
19950003	95	3	PAPCO INC                                         	15132	"213 W. THIRD AVENUE, Room 307           "	WARREN                   	WARREN                   	PA	16365	                                        	                         	                         	  	     	PA                                      	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5		"DARRYL E. PIERCE, P.E. - Secretary                          "	8147262130	3/4/1996	
19950004	95	4	BURBANK MUNICIPAL SYSTEM                          	1888	105 S. 1ST STREET P.O.BOX 59            	BURBANK                  	OSAGE                    	OK	74633	                                        	                         	                         	  	     	OK                                      	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	66	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	1	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	1	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		"CHERYL SELF - SECRETARY, BPWA                               "	9186485346	3/4/1996	3/12/1996
19950005	95	5	"EQUALITY, VILLAGE OF                              "	4507	100 NORTH CALHOUN STREET                	EQUALITY                 	GALLATIN                 	IL	62934	                                        	                         	                         	  	     	IL                                      	0	0	0	3	9	0	0	0	0	0	12	0	0	0	0	315	0	0	0	0	0	315	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	2	0	0	0	317	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0		ED BRATCHER - OPERATOR                                      	6182725681	3/4/1996	3/12/1996
19950006	95	6	"SOUTH FULTON GAS DEPT, CITY OF                    "	18432	132 BROADWAY                            	SOUTH FULTON             	OBION                    	TN	38257	                                        	                         	                         	  	     	TN                                      	0	0	0	5	24	4	0	0	0	0	33	0	0	0	97	1065	0	0	0	0	0	1162	0	1	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	8	0	0	0	33	0	0	97	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1062	3	0	0	0	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1159	3	0	0	0	1162	0	3	0	3	0	0	0	2	0	4	0	0	0	0	3		LARRY BREWER                                                	9014792242	3/4/1996	5/1/1997
19950007	95	7	SACO MUNICIPAL GAS SERVICE                        	18024	BOX 242                                 	SACO                     	PHILLIPS                 	MT	59261	                                        	                         	                         	  	     	MT                                      	0	0	0	3	0	0	0	0	0	0	3	0	0	0	100	52	0	0	0	0	0	152	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	100	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	152	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3		CHERYL LUCAS - TOWN CLERK                                   	4065273312	3/4/1996	
19950008	95	8	CIRCLE PINES UTILITY                              	2368	200 CIVIC HEIGHTS CIRCLE                	CIRCLE PINES             	ANOKA                    	MN	55014	                                        	                         	                         	  	     	MN                                      	0	0	0	24	18	0	0	0	0	0	42	0	0	0	1688	778	0	0	0	0	0	2466	0	17	6	1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	9	1	0	0	42	69	0	1638	49	1	0	0	1688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	776	2	0	0	0	778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2414	51	1	0	0	2466	0	0	0	0	0	0	0	0	0	0	32	52	26	0	0.53	" 6 UNDERGROUND LEAKS REPAIRED, THE REMAINING UNDERGROUND LEAKS ARE SCHEDULEDFOR REPAIR"	TROY DAHLIN - PUBLIC WKS. SUP.                              	6127845898	3/4/1996	
19950009	95	9	TISHOMINGO GAS SYSTEM                             	19475	1281 MAIN STREET  P.O. BOX 71           	TISHOMINGO               	TISHOMINGO               	MS	38873	                                        	                         	                         	  	     	MS                                      	0	0	0	25	5	0	0	0	0	0	30	0	0	0	254	165	0	0	0	0	0	419	0	6	19	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	30	0	0	253	1	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	14	0	165	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	1	0	0	0	420	0	1	0	0	2	6	0	0	0	1	0	0	1	0	11		"DEBBIE NUNLEY, UTILITY CLERK                                "	6014386402	3/4/1996	6/18/1997
19950010	95	10	"FORT STOCKTON MUNICIPAL SYSTEM, CITY OF           "	5470	121 WEST 2ND STREET                     	FORT STOCKTON            	PECOS                    	TX	79735	                                        	                         	                         	  	     	TX                                      	2	0	0	10	69	16	0	0	0	0	97	1595	0	0	1481	0	0	0	0	0	0	3076	0	2	10	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	16	0	6	2	0	0	0	8	0	47	10	0	0	0	57	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	27	0	0	0	97	60	0	2920	156	0	0	0	3076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2920	156	0	0	0	3076	4	1	0	0	0	6	0	0	7	5	2	2	0	0	4.4		TONY CORDOVA                                                	9153368525	3/4/1996	7/15/1996
