RPTID	YR	NAME	OPID	STADD	CITY	COUNT	ST	ZIP	HSTAD	HCITY	HCNTY	HST	HZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM	CS	TM	TS	OM	OS	CDM	CDS	MDM	MDS	OTHM	OTHS	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC	
19980001	1998	"SEBRING GAS SYSTEM, INC"	929	3515 HWY 27 SOUTH	SEBRING	HIGHLANDS	FL	33870						FL	0	0	0	14	14	0	0	0	0	0	28	0	0	0	517	320	0	0	0	0	0	837	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	7	0	0	0	28	30	0	517	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	32	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	30	0	0	0	835	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1		NORMAN SMITH	9413850194	6/4/1999		
19980002	1998	HERMAN RIEMER GAS CO	17405	134 WINFIELD ROAD	SARVER	BUTLER	PA	16055						PA	19	0	0	0	14	0	0	0	0	0	33	269	0	0	0	233	0	0	0	0	0	502	0	11	8	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0	33	3	0	342	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	93	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	93	0	0	0	502	7	0	3	3	0	0	0	0	2	0	0	0	4	0	0		JEFFREY H. RIEMER	4123521802	6/4/1999		
19980003	1998	CALEDONIA NATURAL GAS DISTRICT	2047	55 COULTER STREET	CALEDONIA	LOWNDES	MS	39740						MS	0	0	0	0	126	0	0	0	0	0	126	0	0	0	0	1736	0	0	0	0	0	1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	67	3	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	67	3	0	0	126	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1730	6	0	0	0	1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1730	6	0	0	0	1736	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1		CARL GRIFFIN	6013564250	6/4/1999		
19980004	1998	JAY UTILITIES AUTH	9170	225 S 5TH STREET	JAY	DELAWARE	OK	74346						OK	0	0	0	36	0	0	0	0	0	0	36	0	0	0	1027	0	0	0	0	0	0	1027	0	14	9	13	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	9	13	0	0	36	0	0	876	104	47	0	0	1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876	104	47	0	0	1027	0	12	0	0	0	0	0	0	0	0	0	17	0	0	13		PATSY J. HUGHES	9182538542	6/4/1999		
19980005	1998	SHANNON MUNICIPLE GAS SYSTEM	18224	PO BOX 6  1426 NORTH STREET	SHANNON	LEE	MS	38868						MS	0	0	0	14	12	0	0	0	0	0	26	0	0	0	245	429	0	0	0	0	0	674	0	7	7	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	26	150	0	245	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	1	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	1	0	0	0	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		TOM ABERNATHY - GAS & WATER SUPERINTENDENT	6017673969	6/4/1999		
19980006	1998	"DUCK HILL GAS SYSTEM, TOWN OF"	3580	"P.O. BOX 368, 105 N. STATE ST."	DUCK HILL	MONTGOMERY	MS	38925						MS	0	0	0	27	4	0	0	0	0	0	31	0	0	0	459	180	0	0	0	0	0	639	0	17	10	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	10	0	0	0	31	100	0	459	1	0	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	1	0	0	0	640	2	0	0	15	0	0	0	0	0	0	0	0	0	0	21.84		JERRY B PYRON	6015657200	6/4/1999		
19980007	1998	"BARDWELL GAS SYSTEM, CITY OF"	1120	1 FRONT STREET   BOX 277	BARDWELL		KY	42023						KY	0	0	0	24	7	0	0	0	0	0	31	0	0	0	390	448	0	0	0	0	0	838	0	12	12	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	31	0	0	390	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	0	0	0	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		MICHAEL J HOSKINS - MANAGER	5026283833	6/4/1999		
19980008	1998	ELIZABETH NATURAL GAS INC	4343	606 PAGE STREET	DE QUINCY	CALCASIEU	LA	70633						LA	0	0	0	0	39	35	0	0	0	0	74	0	0	0	0	116	232	0	0	0	0	348	0	11	1	28	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	16	8	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	9	28	0	0	74	15	0	115	1	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	20	0	198	14	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	15	0	0	0	348	1	0	2	0	0	0	0	0	0	2	0	0	0	0	1		GREEG PELOQUIN	3187866251	6/4/1999		
19980009	1998	PENTEX PIPELINE COMPANY	30584	197 TENNESSEE ROAD	COUDERSPORT	POTTER	PA	16915	1001 LOUISIANA STREET	HOUSTON		TX	77002	PA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		SCOTT J LEWIS	7246622990	6/4/1999		
19980010	1998	"GULF BREEZE, CITY OF"	6850	1070 SHORELINE DRIVE	GULF BREEZE	SANTA ROSA	FL	32561	1070 SHORTLINE DR	GULF BREEZE	SANTA ROSA	FL	32561	FL	0	0	0	34	65	0	0	0	0	0	99	0	0	0	711	1657	0	0	0	0	0	2368	0	18	11	5	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	11	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	11	16	0	0	99	96	0	711	10	0	0	0	721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1642	5	0	0	0	1647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2353	15	0	0	0	2368	0	3	0	8	0	0	0	2	0	0	0	40	0	0	0.01		HARROLD HATCHER	9049345108	6/4/1999		
