RPTID	YR	NAME	OPID	OSTREET	OCITY	OCOUNTY	OSTATE	OZIP	HSTREET	HCITY	HCOUNTY	HSTATE	HZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM	CS	TM	TS	OM	OS	CDM	CDS	MDM	MDS	OTHM	OTHS	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOE	DOC	
19990395	1999	"ABBYVILLE, CITY OF"	18	P O BOX 100	ABBYVILLE	RENO	KS	67510						KS	0	0	0	3	0	0	0	0	0	0	3	0	0	0	65	0	0	0	0	3	0	68	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	35	0	0	65	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	65	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		MIKE BICKEL	3162865605	2/24/2000		
19991244	1999	ABITA SPRINGS NAT GAS & WATER	27	22161 level street	ABRITA SPRINGS	ST.TAMMANY PARISH	LA	70420	PO BOX 461	ABITA SPRINGS		LA		LA	0	0	0	25	1	0	0	0	0	0	26	0	0	0	511	114	0	0	0	0	0	625	0	23	2	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	0	0	0	26	30	0	511	0	0	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	0	625	2	18	0	0	1	2	0	0	0	0	0	0	0	0	4		JOSEPH W. LLOYD	5048920711	3/27/2000		
19990413	1999	ACME FILL CORP	30965	890 WATREBIND WAY	MARTINEZ		CA	94553						CA	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		PAUL I TAVARES  - PLANT MANAGER	9253728050	2/25/2000		
19990717	1999	"ADAIRSVILLE, CITY OF"	45	116 PUBLIC SQUARE	ADAIRSVILLE	BARTOW	GA	30103						GA	0	0	0	22	16	0	0	0	0	0	38	0	0	455	113	646	0	0	0	0	0	1214	0	11	10	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	10	1	0	0	38	100	0	568	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644	2	0	0	0	646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1212	2	0	0	0	1214	0	36	0	12	0	0	0	0	0	0	0	0	0	0	8		VICTORIA A WIDAWSKI	7709626688	3/10/2000		
19990747	1999	"ADAMSVILLE GAS DEPT, TOWN OF"	49	231 EAST MAIN STREET	ADAMSVILLE	MCNAIRY	TN	38310						TN	0	0	0	90	32	0	0	0	0	0	122	0	0	0	718	943	0	0	0	0	0	1661	0	68	13	9	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	13	9	0	0	122	0	0	734	4	0	34	0	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0	0	0	0	889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1623	4	0	34	0	1661	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3		BOB GRAHAM	9016324214	3/13/2000	8/10/2000	
19991236	1999	"ADEL GAS DEPT, CITY OF"	54	P.O. BOX 658	ADEL	COOK	GA	31620						GA	0	0	0	27	7	0	0	0	0	0	34	0	0	0	743	385	0	0	0	0	0	1128	0	20	5	2	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	5	2	0	0	34	100	0	733	10	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	10	0	0	0	1128	0	0	0	0	0	0	0	0	0	0	1	1	2	0	3.5		RONALD W. MANN	7704221902	3/27/2000		
19990398	1999	AFTON PUBLIC WORKS AUTHORITY (APWA)	30507	"P.O. BOX 250, 123 S. MAIN"	AFTON	OTTAWA	OK	74331						OK	0	0	0	23	1	0	0	0	0	0	24	0	0	0	497	13	0	0	0	0	0	510	0	15	8	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	24	0	0	496	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	6	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0		BILLY M. HARRISON - CHAIRMAN	9182574304	2/24/2000		
19991171	1999	AGENDA GAS SYSTEM	72	300 MAIN STREET	AGENDA	REPUBLIC	KS	66930						KS	0	0	0	3	0	0	0	0	0	0	3	0	0	0	73	0	0	0	0	0	0	73	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	73	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		MYRA LUNDQUIST	7857326619	3/22/2000		
19990982	1999	ALABAMA GAS CORP (EX. MARENGO CORP PROPERTY)	180	605 21ST STREET NORTH	BIRMINGHAM	JEFFERSON	AL	35203						AL	29	146	499	4675	2481	1222	0	0	0	0	9052	50482	3727	87382	154984	189247	64	0	1345	0	0	487231	0	3204	1479	564	91	11	5349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	544	348	32	24	1222	0	0	0	0	0	0	0	0	1785	631	65	0	0	2481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5263	2654	977	123	35	9052	122	142226	139769	12549	1616	331	84	296575	0	0	0	0	0	0	0	0	1345	0	0	0	0	1345	0	0	0	56	8	0	64	0	0	0	0	0	0	0	0	167589	20421	1190	47	0	189247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142226	308703	32970	2862	386	84	487231	477	819	421	1990	15	7	5	13	14	44	1175	4398	354	0	0.59	1) OUR AUTOMATIVE ACCOUNTING SYSTEM DOES NOT IDENTIFY DUCTILE IRON MAINS TOTAL INCLUDED IN CAST IRON MAINS.  2) INCLUDES 1949 ABOVE GROUND LEAKS REPORTED BY THIRD PARTY SURVEY.  3) INCLUDES 66 ABOVE GROUND ELAKS BY THIRD PARTY SURVEY.	DANIEL BRYANT	2053268473	3/20/2000	3/23/2000	
19990869	1999	ALBANY MUNICIPAL GAS CO	225	106 EAST CLAY STREET	ALBANY	GENTRY	MO	64402						MO	0	0	0	20	1	0	0	0	0	0	21	0	0	0	704	195	0	0	0	0	0	899	0	14	3	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	3	0	0	21	60	0	694	10	0	0	0	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	1	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	11	0	0	0	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		JIM COBURN	8167263935	3/17/2000		
