YR	RPTID	NAME	OPERATOR_ID	OSTREET	OCITY	OCOUNTY	OSTATE	OZIP	HSTREET	HCITY	HCOUNTY	HSTATE	HZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	CM	CS	OM	OS	TM	TS	CDM	CDS	MDM	MDS	OTHM	OTHS	KNLK	FEDLK	UNACC	COMMENTS	PNAME	PHONE	DOR	DOE			
2000	20000002	VELMA PUBLIC WORKS AUTH	21170	"PO BOX 5, MAIN & HARGROVE"	VELMA	STEPHENS	OK	73091		 		OK		OK	0	0	0	0	39	0	0	0	0	0	39	0	0	0	0	500	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	39	0	0	0	0	0	0	0	0	39	0	0	0	0	39	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	500	0	0	0	0	0	0	0	0	500	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		PAULA LYNN	5804443392	12/28/2000	12/29/2000			
2000	20000003	PENTEX PIPELINE COMPANY	30584	579 BRIGHTON WAY	PHOENIXVILLE		PA	-9461	3131 MCKINNEY AVE #100	DALLAS		TX	-5211	PA	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		"1.5 MILE 3"" PIPELINE SERVICE CUSTOMER AT A CUSTODY TRANSFER POINT.  REGULATE AT THE PENNSYLVANIA PUBLIC SERVICE COMMISSION."	MARK D CASADAY	6104150622	12/27/2000	12/29/2000			
2000	20000004	"WHITTEMORE, TOWN OF"	22588	310 FOURTH STREET	WHITTEMORE	KOSSUTH	IA	50598						IA	0	0	0	4	0	0	0	0	0	0	4	0	0	0	226	57	0	0	0	0	0	283	0	3	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	0	0	212	11	3	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	7	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	18	3	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		LINDA K. FARRELL	5158842265	12/27/2000	12/29/2000			
2000	20000005	STURGIS NATURAL GAS SYSTEM	18676											KY	0	0	0	41	4	0	0	0	0	0	45	0	0	0	1088	36	0	0	0	0	0	1124	0	15	14	12	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	15	12	0	0	45	0	0	1081	7	0	0	0	1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1117	7	0	0	0	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0			MIKE DEMOSS	2703332166	12/26/2000	12/29/2000			
2000	20000006	"ST. ROBERT, CITY OF"	30865	115 PLATTNER ST.	ST ROBERT	PULASKI	MO	65583						MO	0	0	0	0	21	0	0	0	0	0	21	0	0	0	0	390	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	3	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	3	0	0	21	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	26	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	26	0	0	0	390	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1		MATT F WOOD	573365169	12/26/2000	12/29/2000			
2000	20000007	"GRANVILLE, CITY OF"	6601	P.O. BOX 39 103 3RD ST SW	GRANVILLE	MCHENRY	ND	58741						ND	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	168	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	2	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	2	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0			BOB BACHMEIER	7017286369	12/26/2000	12/29/2000			
2000	20000008	"BILLINGS GAS CO, TOWN OF"	1448	122 WEST MAIN	BILLINGS	NOBLE	OK	74630	122 W. MAIN ST	BILLINGS	NOBLE	OK	74630	OK	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	259	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	6	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	6	0	0	0	259	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2		RICKY J HARTZ	5807253345	12/27/2000	12/29/2000			
2000	20000009	ST JAMES PARISH UTILITIES	18056	PO BOX 667	VACHERIE		LA	70090						LA	0	0	0	94	4	0	0	0	18	0	116	0	0	0	2214	0	0	0	0	1355	0	3569	0	53	39	2	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	0	18	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	40	2	0	0	116	100	0	2214	0	0	0	0	2214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355	0	0	0	0	1355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3569	0	0	0	0	3569	2	16	7	21	0	0	0	9	0	49	0	16	0	0	4		DONALD D NASH.	5042656008	12/26/2000	12/29/2000			
2000	20000010	"ROBSTOWN GAS SYSTEM, CITY OF"	17560	101 E. MAIN	ROBSTOWN	NUECES	TX	78380						TX	0	0	0	49	0	0	0	0	12	0	61	0	0	0	3812	0	0	0	0	143	0	3955	0	0	49	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	61	0	0	0	3812	0	0	0	3812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3955	0	0	0	3955	6	18	0	0	0	12	2	0	8	16	0	0	0	0	7		RAY GONZALES	3613872842	12/26/2000	12/29/2000			
2000	20000011	"TYLER, CITY OF"	31222	230 NORTH TYLER ST	TYLER	LINCOLN	MN	56178						MN	0	0	0	9	11	0	0	0	0	0	20	0	0	0	0	468	0	0	0	0	0	468	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	20	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	4	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	4	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2 NEW SERVICES WERE INSTALLED AND ONE SERVICE WAS ELIMINATED.	MIC VANDEVERE	5072475176	12/27/2000	12/29/2000			
