ORIGINAL	SUPPLEMENT	YR	RPTID	D_SUP_ID	NAME	OPERATOR_ID	OFCITY	OFCOUNTY	OFSTATE	OFSTREET	OFZIP	HQCITY	HQCOUNTY	HQSTATE	HQSTREET	HQZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	DINSTM_1	DINSTM_2	DINSTM_3	DINSTM_4	DINSTM_5	DINSTM_6	DINSTM_7	DINSTM_8	DINSTM_9	DINSTMT	DINSTS_1	DINSTS_2	DINSTS_3	DINSTS_4	DINSTS_5	DINSTS_6	DINSTS_7	DINSTS_8	DINSTS_9	DINSTST	CM	CS	NFM	NFS	EXCM	EXCS	OOFM	OOFS	MWM	MWS	EQM	EQS	OPERM	OPERS	OTHM	OTHS	KNLK	FEDLK	UNACC	DOR	DOE	COMMENTS	PNAME	PEMAIL	PFAX	PPHONE
Y	N	2006	20060067	4457	"VALLEY ENERGY, INC."	21030	SAYRE	BRADFORD	PA	523 S. KEYSTONE AVE.	18840						NY	0	0	0	15	16	0	0	0	0	0	31	0	0	0	245	1229	0	0	0	0	0	1474	0	3	10	2	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	6	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	15	8	0	0	31	79	0	67	173	5	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	539	4	0	0	1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	753	712	9	0	0	1474	0	0	0	0	8	6	5	4	8	31	0	0	0	1	171	352	356	323	271	1474	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	4	1	0	0	1/18/2007	1/18/2007		ROBERT J. CROCKER	BOBC@CTENTERPRISES.ORG	5708886199	5708889664
Y	N	2006	20060069	4459	TOWN OF GRANITE	6570	GRANITE	GREER	OK	"420 N MAIN ST, PO BOX 116"	73547						OK	0	0	0	0	17	0	0	0	0	0	17	0	0	0	0	466	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	6	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	6	0	0	0	466	17	0	0	0	0	0	0	0	0	17	466	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	1/18/2007	1/18/2007		ROBYN MONDAY/ TOWN CLERK	GRANITECLERK@SWOI.NET	5805352123	5805352116
Y	N	2006	20060070	4460	HARLAN MUNICIPAL UTILITIES	7080	HARLAN	SHELBY	IA	405 CHATBURN AVE	51537						IA	0	0	0	31	6	0	0	0	0	0	37	0	0	0	2187	202	0	0	0	0	0	2389	0	23	4	4	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	6	4	0	0	37	80	0	2046	136	5	0	0	2187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	5	1	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2242	141	6	0	0	2389	34	0	0	0	0	0	0	0	3	37	2288	0	0	0	0	0	0	0	101	2389	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1/18/2007	1/18/2007		"STEVEN DRESEN, DIRECTOR GAS/WATER"	SDRESEN@HARLANNET.COM	7127552320	7127555782
Y	N	2006	20060072	4462	TOWN OF ELIZABETH GAS SYSTEM	4341	ELIZABETH	ALLEN	LA	"230 POPLAR STEEET, P.O. BOX 457"	70638						LA	0	0	0	24.3	23.6	0	0	0	0	0	47.9	0	0	0	1	258	0	0	0	0	0	259	0	0.8	0	23.5	0	0	24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.2	0	21.5	1.9	0	0	0	23.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.5	1.9	23.5	0	0	47.9	12	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	242	15	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	15	0	0	0	259	0	0	23.5	0	1	0	18.1	5.3	0	47.9	0	0	0	0	9	0	208	42	0	259	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1/18/2007	1/18/2007		ALVIN VAN EARL	VANEARL@COMTEL.NET	3186347881	3186345100
Y	N	2006	20060209	4655	VILLAGE OF FLAT ROCK	5220	FLAT ROCK	CRAWFORD	IL	PO BOX 81	62427	FLAT ROCK	CRAWFORD	IL	PO BOX 81	62427	IL	0	0	0	6	7.5	0	0	0	0	0	13.5	0	0	0	48	212	0	0	0	0	0	260	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0	0	0	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	6	0	0	0	13.5	97	0	48	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	260	0	0	0	0	0	0	13.5	0	0	13.5	0	0	0	0	0	0	212	48	0	260	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2/9/2007	2/9/2007		BRAD RALEY	BRADR@ILGAS.COM	6183958588	6183958588
Y	N	2006	20060210	4656	CITY OF TIFTON GAS SYSTEM	19450	TIFTON	TIFTON COUNTY	GA	130 E FIRST STREET	31793	TIFTON	TIFT	GA	P. O. BOX 229	31793	GA	0	0	0	121.5	0	0	0	0	0	0	121.5	0	0	0	4476	24	0	0	0	0	0	4500	0	70.5	37	14	0	0	121.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.5	37	14	0	0	121.5	0	0	4111	345	20	0	0	4476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4135	345	20	0	0	4500	0	0	0	6	87	12	6	6	4.5	121.5	0	0	0	222	3210	445	222	222	179	4500	2	2	0	1	0	1	1	1	2	12	0	0	0	0	0	0	0	0	0	2/9/2007	2/9/2007		DAMON HARPER	DHARPER@GASAUTHORITY.COM	6788192937	2293763027
Y	N	2006	20060080	4472	ENERGY SERVICES OF PENSACOLA	4475	PENSACOLA	ESCAMBIA	FL	1625 ATWOOD DRIVE	32514-7550	PENSACOLA	ESCAMBIA	FL	1625 ATWOOD DRIVE	32514-7550	FL	474.68	86	2	178	737.61	87.9	0	0	0	0	1566.19	19966	0	143	2054	37295	0	0	0	0	0	59458	0	577.57	78.9	74.51	9.7	0	740.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26	66	20.32	0.32	0	87.9	0	0	0	0	0	0	0	0	587.37	81.05	54.05	15.14	0	737.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1166.2	225.95	148.88	25.16	0	1566.19	70	0	18190	3947	20	6	0	22163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36153	1131	10	1	0	37295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54343	5078	30	7	0	59458	1566.19	0	0	0	0	0	0	0	0	1566.19	59458	0	0	0	0	0	0	0	0	59458	98	141	4	0	104	334	4	12	0	0	4	15	2	9	59	86	0	0	1.3	1/19/2007	1/19/2007		GLENN F. BAILEY	GBAILEY@CI.PENSACOLA.FL.US	8504745331	8504745319
Y	N	2006	20060212	4658	TOWN OF GUEYDAN	6840	GUEYDAN	VERMILION	LA	600 MAIN ST	70542						LA	0	0	0	14	0	0	0	0	0	0	14	0	0	0	617	0	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	14	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	7	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	7	0	0	0	617	14	0	0	0	0	0	0	0	0	14	617	0	0	0	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2/12/2007	2/12/2007	PART C:  METERS 12  RISERS  4    VALVES   4  REGULATORS 3  	ROXANNA HEBERT	GUEYDAN1@BELLSOUTH.NET	3375369498	3375369415
Y	N	2006	20060085	4488	CITY OF CHESTER	2316	CHESTER	RANDOLPH	IL	1330 SWANWICK STREET	62233	CHESTER	RANDOLPH	IL	1330 SWANWICK STREET	62233	IL	0	0	0	59	6	0	0	0	0	0	65	0	0	0	1559	415	0	0	0	0	0	1974	0	14	25	20	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	27	20	0	0	65	75	0	1542	15	2	0	0	1559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	3	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1954	18	2	0	0	1974	0	0	0	41	2	15	1	3	3	65	0	0	0	807	652	305	137	0	73	1974	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1/23/2007	1/23/2007	"2005-RETIRED 2110' OF 2"" STEEL MAIN  2005-RETIRED 630' OF 4"" STEEL MAIN  2005-INSTALLED 675' OF 2"" PE MAIN  2005-INSTALLED 630' OF 4"" PE MAIN  2006-INSTALLED 778' OF 2"" PE MAIN  2006-RETIRED 1365' OF 3"" STEEL MAIN"	"C.LINDSAY ENLOE,PE,GAS ENGINEER"	LINDSAY1342@SBCGLOBAL.NET	6182771586	6182771520
Y	N	2006	20060089	4492	CITY OF ASHBURN	702	THOMASVILLE	THOMAS	GA	POST OFFICE BOX 3217	31799-3217	ASHBURN	TURNER	GA	POST OFFICE BOX 766	31714	GA	0	2	0	20	4.222	0	0	0	0	0	26.222	647	0	87	0	375	0	0	0	0	0	1109	0	14	7	1	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.359	2.863	0	0	0	4.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.359	9.863	1	0	0	26.222	95	0	730	4	0	0	0	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	9	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1096	13	0	0	0	1109	0	0	0	0	22	0	0	0	4.222	26.222	0	0	0	0	578	0	361	0	170	1109	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	19	0	0	1/24/2007	1/24/2007	"FILING INFORMATION PROVIDED BY RONNIE RAINEY, GAS SUPERINTENDENT OF THE CITY OF ASHBURN"	W. L. HAYS	CSI@ROSE.NET	2292270335	2292266569
