ORIGINAL	SUPPLEMENT	YR	RPTID	D_SUP_ID	NAME	OPERATOR_ID	OFCITY	OFCOUNTY	OFSTATE	OFSTREET	OFZIP	HQCITY	HQCOUNTY	HQSTATE	HQSTREET	HQZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	DINSTM_1	DINSTM_2	DINSTM_3	DINSTM_4	DINSTM_5	DINSTM_6	DINSTM_7	DINSTM_8	DINSTM_9	DINSTMT	DINSTS_1	DINSTS_2	DINSTS_3	DINSTS_4	DINSTS_5	DINSTS_6	DINSTS_7	DINSTS_8	DINSTS_9	DINSTST	CM	CS	NFM	NFS	EXCM	EXCS	OOFM	OOFS	MWM	MWS	EQM	EQS	OPERM	OPERS	OTHM	OTHS	KNLK	FEDLK	UNACC	DOR	DOE	COMMENTS	PNAME	PEMAIL	PFAX	PPHONE	
Y	N	2007	20070019	6744	CITY OF HENNING	31433	HENNING	OTTERTAIL	MN	607 2ND ST PO BOX 55	56551						MN	0	0	0	0	21.6	0	0	0	0	0	21.6	0	0	0	0	410	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1	3.5	2	0	0	21.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1	3.5	2	0	0	21.6	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	5	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	5	0	0	0	410	0	0	0	0	0	0	0	21.5	0.1	21.6	0	0	0	0	0	0	0	367	43	410	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/8/2008	1/8/2008		SCOTT GRABE	"SCOTT.GRABE@YAHOO,COM"	2185832637	2185832402	
Y	N	2007	20070013	6736	"BRAZORIA, CITY OF"	1696	BRAZORIA	BRAZORIA	TX	201 SOUTH MAIN	77422	BRAZORIA	BRAZORIA	TX	201 SOUTH MAIN	77422	TX	0	0	0	9	55	0	0	0	0	0	64	0	0	0	0	964	0	0	0	0	0	964	0	0	8	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	8	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	16	1	0	0	64	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	22	0	0	0	964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	22	0	0	0	964	0	0	0	0	0	0	15	14	35	64	0	0	0	0	0	0	299	231	434	964	0	0	0	0	6	3	0	0	0	0	0	3	3	6	0	0	1	0	9.7	1/7/2008	1/7/2008		DAVID JORDAN	PWDIRECTOR@CITYOFBRAZORIA.ORG	9797989144	9797982489	
Y	N	2007	20070177	6933	WHEELER BASIN NATURAL GAS CO	31157	MOULTON	LAWRENCE	AL	3960 COUNTY ROAD 434	35650	MOULTON	LAWRENCE	AL	3960 COUNTY ROAD 434	35650	AL	0	0	0	23	186	0	0	0	0	0	209	0	0	0	3	3432	0	0	0	0	0	3435	0	0	6	17	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	67	17	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	73	34	0	0	209	184	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3408	21	3	0	0	3432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3408	21	6	0	0	3435	0	0	0	0	0	0	0	198	11	209	0	0	0	0	0	0	0	2668	767	3435	0	0	0	0	5	20	1	3	0	1	0	9	0	0	0	0	0	0	0.83	1/30/2008	1/30/2008		MAX ROBERTS	MROBERTS@JWEMC.ORG	2569743845	2569749023	
Y	N	2007	20070178	6934	SUBURBAN PROPANE	18684	MIAMI	DADE	FL	1491 NE 130TH ST	33161	MIAMI	DADE	FL	1491 NE 130TH ST	33161	FL	0	0	0	11	3	0	0	0	0	0	14	0	0	0	1310	0	0	0	0	0	0	1310	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	14	18	0	1310	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	1310	11	0	0	0	0	0	0	3	0	14	1310	0	0	0	0	0	0	0	0	1310	15	0	0	0	5	0	0	0	0	0	62	0	0	0	0	0	0	0	4	1/30/2008	1/30/2008	"LEAKS WERE FOUND ON LEAK SURVEY ON MOST OF THE GREASE FITTINGS ON THE VALVES AND RISERS, ALL LEAKS WERE REPAIRED."	SULLIVAN C PALERMO	SPALERMO@SUBURBANPROPANE.COM	3058910834	3058918393	
Y	N	2007	20070180	6936	WESTBROOK PUBLIC UTILITIES	883	WESTBROOK	COTTONWOOD	MN	556 1ST AVE	56183						MN	0	0	0	0	16	0	0	0	0	0	16	0	0	0	0	440	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	6	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	6	0	0	0	440	0	0	0	0	0	0	0	16	0	16	0	0	0	0	0	0	0	440	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/30/2008	1/30/2008		DENNIS JUTTING	BAFOWLER@CENTURYTEL.NET		5072746712	
Y	N	2007	20070301	7078	LINEVILLE NATURAL GAS SYSTEM	11529	UNIONVILLE	PUTNAM	MO	1717 MAIN STREET PO BOX 206	63565	UNIONVILLE	PUTNAM	MO	1717 MAIN STREET PO BOX 206	63565	IA	0	0	0	6	1	0	0	0	0	0	7	0	0	0	91	93	0	0	0	0	0	184	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	60	0	91	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	184	0	0	0	0	6	1	0	0	0	7	0	0	0	0	149	7	10	10	8	184	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	2/12/2008	2/12/2008	PART E - PERCENT OF UNACCOUNTED FOR:   WE HAVE A POSSIBLE PIPELINE METERING PROBLEM.  THE PIPELINE HAS BEEN NOTIFIED AND WE ARE WAITING TO HEAR BACK FROM THEM.	LINDA VALENTINE	USDI@NEMR.NET	6609473146	6609473316	
Y	N	2007	20070309	7086	CONSOLIDATED EDISON CO OF NEW YORK	2704	NEW YORK	NEW YORK	NY	4 IRVING PLACE	10003						NY	1239	53	0	364	1220	1386	0	0	2	0	4264	122762	6056	0	19972	207750	0	0	24827	0	919	382286	0	296	433	646	164	117	1656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	838	161	145	1386	0	0	0	0	0	0	0	0	489	260	411	59	1	1220	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	785	935	1895	385	264	4264	41	0	37936	95100	14575	1075	104	148790	0	0	0	0	0	0	0	0	17541	7275	11	0	0	24827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91672	106111	8617	1270	80	207750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	536	12	1	0	919	0	147519	209022	23215	2346	184	382286	0	1963	167	329	288	302	339	555	321	4264	0	66580	16357	28998	22254	59730	65913	70130	52324	382286	2222	2643	187	9	70	332	0	0	1	0	157	50	0	4	2925	950	42	0	0.9	2/13/2008	2/13/2008	"THERE ARE ADDITIONAL 18,447 PARTIAL STEEL SERVICES THAT ARE COATED AND CATHODICALLY PROTECTED, WHICH ARE COUNTED IN OTHER MATERIAL CATEGORIES."	ANTHONY MANCINO	MANCINOA@CONED.COM	7189044595	7183195460	
N	Y	2007	20070016	6779	KAMPS PROPANE	31964	MANTECA	SAN JOAQUIN	CA	1915 MOFFAT	95336	MANTECA	SAN JOAQUIN	CA	1915 MOFFAT	95336	CA	0	0	0	1	0.6	0	0	0	0	0	1.6	0	0	0	96	16	0	0	0	0	0	112	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	1.6	40	0	96	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	112	0	0	0	0	1	0.3	0.3	0	0	1.6	0	0	0	0	76	21	15	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9.8	1/7/2008	1/11/2008		JEFF PILGRIM	JPILGRIM@KAMPSPROPANE.COM	2098239609	2098238924	
Y	N	2007	20070052	6786	"LOXLEY, TOWN OF"	11864	LOXLEY	BALDWIN	AL	"1089 S HICKORY ST, PO BOX 9"	36551						AL	0	0	0	17	1.5	0	0	0	0	0	18.5	0	0	0	328	128	0	0	0	0	0	456	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5	0	0	0	0	18.5	0	0	320	8	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	8	0	0	0	456	0	0	0	0	0	16	0	0	2.5	18.5	0	0	0	0	0	329	0	0	127	456	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1/14/2008	1/14/2008		THOMAS HUDSON	LOXLEYPUD@GULFTEL.COM	2519647645	2519647644	
Y	N	2007	20070198	6957	"FLORENCE GAS DEPT, CITY OF"	5300	FLORENCE	LAUDERDALE	AL	650 RICKWOOD ROAD	35630						AL	0	0	0	269	270	0	0	0	0	0	539	0	0	0	5410	12344	0	0	0	0	0	17754	0	164	23	77	5	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	103	32	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	126	109	5	0	539	150	0	5362	45	3	0	0	5410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12207	130	7	0	0	12344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17569	175	10	0	0	17754	0	0	0	117.5	55.74	61.99	64.98	215.99	22.8	539	0	0	0	2986	1601	1718	2768	6814	1867	17754	22	22	1	1	10	32	1	3	11	32	9	99	1	2	21	103	0	0	0	2/1/2008	2/1/2008		MICHAEL DOYLE	MDOYLE@FLORENCEUTILITIES.COM	2567671818	2567408855	
