ORIGINAL	SUPPLEMENT	YR	RPTID	D_SUP_ID	NAME	OPERATOR_ID	OFCITY	OFCOUNTY	OFSTATE	OFSTREET	OFZIP	HQCITY	HQCOUNTY	HQSTATE	HQSTREET	HQZIP	STOP	B1M_1	B1M_2	B1M_3	B1M_4	B1M_5	B1M_6	B1M_7	B1M_8	B1M_9	B1M_10	B1MT	B1S_1	B1S_2	B1S_3	B1S_4	B1S_5	B1S_6	B1S_7	B1S_8	B1S_9	B1S_10	B1ST	STM_1	STM_2	STM_3	STM_4	STM_5	STM_6	STMT	DIM_1	DIM_2	DIM_3	DIM_4	DIM_5	DIM_6	DIMT	CUM_1	CUM_2	CUM_3	CUM_4	CUM_5	CUM_6	CUMT	CIM_1	CIM_2	CIM_3	CIM_4	CIM_5	CIM_6	CIMT	PVCM_1	PVCM_2	PVCM_3	PVCM_4	PVCM_5	PVCM_6	PVCMT	PEM_1	PEM_2	PEM_3	PEM_4	PEM_5	PEM_6	PEMT	ABSM_1	ABSM_2	ABSM_3	ABSM_4	ABSM_5	ABSM_6	ABSMT	OT1M_1	OT1M_2	OT1M_3	OT1M_4	OT1M_5	OT1M_6	OT1MT	OT2M_1	OT2M_2	OT2M_3	OT2M_4	OT2M_5	OT2M_6	OT2MT	TOTM_1	TOTM_2	TOTM_3	TOTM_4	TOTM_5	TOTM_6	TOTMT	AVER	STS_1	STS_2	STS_3	STS_4	STS_5	STS_6	STST	DIS_1	DIS_2	DIS_3	DIS_4	DIS_5	DIS_6	DIST	CUS_1	CUS_2	CUS_3	CUS_4	CUS_5	CUS_6	CUST	CIS_1	CIS_2	CIS_3	CIS_4	CIS_5	CIS_6	CIST	PVCS_1	PVCS_2	PVCS_3	PVCS_4	PVCS_5	PVCS_6	PVCST	PES_1	PES_2	PES_3	PES_4	PES_5	PES_6	PEST	ABSS_1	ABSS_2	ABSS_3	ABSS_4	ABSS_5	ABSS_6	ABSST	OT1S_1	OT1S_2	OT1S_3	OT1S_4	OT1S_5	OT1S_6	OT1ST	OT2S_1	OT2S_2	OT2S_3	OT2S_4	OT2S_5	OT2S_6	OT2ST	TOTS_1	TOTS_2	TOTS_3	TOTS_4	TOTS_5	TOTS_6	TOTST	DINSTM_1	DINSTM_2	DINSTM_3	DINSTM_4	DINSTM_5	DINSTM_6	DINSTM_7	DINSTM_8	DINSTM_9	DINSTMT	DINSTS_1	DINSTS_2	DINSTS_3	DINSTS_4	DINSTS_5	DINSTS_6	DINSTS_7	DINSTS_8	DINSTS_9	DINSTST	CM	CS	NFM	NFS	EXCM	EXCS	OOFM	OOFS	MWM	MWS	EQM	EQS	OPERM	OPERS	OTHM	OTHS	KNLK	FEDLK	UNACC	DOR	DOE	COMMENTS	PNAME	PEMAIL	PFAX	PPHONE																																					
Y	N	2009	20090160	12654	DOUGLAS PIPELINE CO	31442	PITTSBURGH	ALLEGHENY	PA	"3829 WILLOW AVENUE, SUITE 203"	15234						OK	0	4	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	19000	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/2/2010	2/2/2010	"THIS PIPELINE IS OWNED BY:  KIMBERLY-CLARK CORPORATION  13252 SOUTH YALE PLACE  JENKS, OK 74037  THIS PIPELINE IS OPERATED BY DOUGLAS PIPELINE COMPANY  OPS ID# 31442"	ANDREA SHACKLETT	ASHACKLETT@DOUGLASPIPELINE.COM	4125312230	4125312440																																					
Y	N	2009	20090163	12657	DOUGLAS PIPELINE CO	31442	PITTSBURGH	ALLEGHENY	PA	"3829 WILLOW AVENUE, SUITE 203"	15234						SC	0	0	0	4	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	1900	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2/2/2010	2/2/2010	"THIS PIPELINE WAS STATIC FOR THE ENTIRE YEAR 2009  THE PIPELINE IS OWNED BY:  SHAW INDUSTRIES  441 MASTERS BLVD.  ANDERSON, SC 29626  THE PIPELINE IS OPERATED BY DOUGLAS PIPELINE COMPANY  OPS ID# 31442"	ANDREA SHACKLETT	ASHACKLETT@DOUGLASPIPELINE.COM	4125312230	4125312440																																					
Y	N	2009	20090094	12524	THEBES MUNICIPAL GAS CO	19350	THEBES	ALEXANDER	IL	PO BOX 159	62990						IL	0	10	0	0	0	0	0	0	0	0	10	0	133	0	0	0	0	0	0	0	0	133	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	133	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	133	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	133	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1/25/2010	1/25/2010		GARY WHITE	THEBES1@SBCGLOBAL.NET	6187640172	6183060183																																					
Y	N	2009	20090169	12664	"HUNTINGTON GAS CO, CITY OF"	7680	HUNTINGTON	ANGELINA	TX	802 HWY 69 SOUTH	75949						TX	0	0	0	0.1	67.7	0	0	0	0	0	67.8	0	0	0	1	856	0	0	0	0	0	857	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.7	24	0	0	0	67.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.8	24	0	0	0	67.8	40	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	839	17	0	0	0	856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	839	18	0	0	0	857	0	0	0	0	0	44.7	0	22.3	0.8	67.8	0	0	0	0	0	680	32	143	2	857	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0.03	2/2/2010	2/2/2010		JOHNNY YOUNG	JYOUNG@CITYOFHUNTINGTON.ORG	9368763327	9364224195																																					
Y	N	2009	20090171	12666	BLACK HILLS ENERGY	15359	OMAHA	DOUGLAS	NE	1815 CAPITOL AVENUE	68102-4914						IA	17	0	15	1452	1269	0	0	0	0	0	2753	340	0	119	54328	103544	0	0	32	232	0	158595	0	648	643	156	27	10	1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	636	615	15	0	0	1266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1287	1258	171	27	10	2753	77	0	47398	7336	48	5	0	54787	0	0	0	0	0	0	0	0	32	0	0	0	0	32	0	0	0	0	0	0	0	0	2807	0	0	0	0	2807	0	96516	3751	469	1	0	100737	0	0	0	0	0	0	0	0	232	0	0	0	0	232	0	0	0	0	0	0	0	0	146985	11087	517	6	0	158595	627	37	36	192	380	427	285	333	436	2753	37618	1033	2321	9502	19510	25774	18341	24456	20040	158595	16	79	24	522	17	91	4	65	14	177	6	151	3	49	42	1174	173	0	0.63	2/2/2010	2/2/2010		"EDWIN M. HATTER, PE"	ED.HATTER@BLACKHILLSCORP.COM	4028292546	4022212546																																					
Y	N	2009	20090048	12439	HUTCHINSON UTILITIES COMMISSION	7695	HUTCHINSON	MCLEOD	MN	225 MICHIGAN STREET SE	55350						MN	0	0	0	57.697	44.877	0	0	0	0	0	102.574	0	0	0	3154	2150	0	0	0	0	0	5304	0	33.07	13.974	7.653	3	0	57.697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.928	18.663	1.286	0	0	44.877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.998	32.637	8.939	3	0	102.574	89	0	3120	30	3	1	0	3154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2107	40	3	0	0	2150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5227	70	6	1	0	5304	65.124	0	0	0	0	0	0	18	19.45	102.574	3598	0	0	0	0	0	0	812	894	5304	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	1/14/2010	1/14/2010		JOHN C. WEBSTER	JWEBSTER@CI.HUTCHINSON.MN.US	3205874721	3202340507																																					
Y	N	2009	20090105	12562	"ELIZABETH, TOWN OF"	4341	ELIZABETH	ALLEN	LA	"230 POPLAR STEEET, P.O. BOX 457"	70638	ELIZABETH	ALLEN	LA	"230 POPLAR ST, PO BOX 457"	70638	LA	0	0	25.9	25.1	0	0	0	0	0	0	51	0	0	1	270	0	0	0	0	0	0	271	0	0.8	0	25.1	0	0	25.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.2	0	22.1	2.8	0	0	0	24.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.1	2.8	25.1	0	0	51	12	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	254	15	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	15	0	0	0	271	0	0	23.2	0	1	0	18.1	5.3	3.4	51	0	0	0	0	9	0	208	42	12	271	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1/27/2010	1/27/2010		ALVIN VAN EARL	VANEARL@CAMTEL.NET	3186347881	3186345100																																					
N	Y	2009	20090084	12563	LANCASTER COUNTY NATURAL GAS AUTH	11192	LANCASTER	LANCASTER	SC	1010 KERSHAW  CAMDEN HWY 	29720						SC	0	0	0	233	541	0	0	0	0	0	774	0	0	0	2116	19987	0	0	0	0	0	22103	0	82	83	68	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	85	3	0	0	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535	168	71	0	0	774	132	0	2097	2	9	1	0	2109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19947	47	0	0	0	19994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22044	49	9	1	0	22103	511	0	0	0	0	0	0	48	215	774	13680	0	0	0	0	0	0	1183	7240	22103	0	0	0	0	4	90	0	12	0	0	0	0	0	0	0	0	0	0	0	1/22/2010	1/27/2010		SETH RODGERS	SETHRODGERS@COMPORIUM.NET	8032852047	8032852045																																					
Y	N	2009	20090176	12673	"COOKEVILLE GAS DEPT, CITY OF"	2764	COOKEVILLE	PUTNAM	TN	16 N OAK STREET	38501	COOKEVILLE	PUTNAM	TN	16 N OAK STREET	38501	TN	0	0	0	285.9	22.9	0	0	0	0	0	308.8	0	0	0	5603	4428	0	0	0	0	0	10031	0	187.9	55	43	0	0	285.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.9	0	0	0	0	22.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210.8	55	43	0	0	308.8	100	0	5538	55	9	1	0	5603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4411	17	0	0	0	4428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9949	72	9	1	0	10031	0	0	0	43	38	5	26	143	53.8	308.8	0	0	0	1201	887	309	1279	4113	2242	10031	1	2	0	0	2	33	0	1	1	4	0	0	0	0	0	2	0	0	0.85	2/3/2010	2/3/2010	"QTY (2) SERVICE LINE LEAKS WERE CLASSIFIED AS ""OTHER"" BECAUSE TYPE OF LEAK WAS UNDETERMINED.  LEAKS WERE FOUND UNDER ROADS AND WERE VERIFIED WITH PRESSURE TESTS.  BOTH LEAKS WERE REPAIRED WITH PIPE BEING REPLACED, THEREFORE CAUSE OF LEAK WAS NOT VISIBLE FOR A DETERMINATION OF CAUSE."	JEFFREY MILLS	JMILLS@COOKEVILLE-TN.ORG	9313728735	9315204427																																					
Y	N	2009	20090180	12678	"UNION UTILITY DEPT, CITY OF"	20170	UNION	UNION	SC	101 SHARPE AVENUE	29379	UNION	SC	SC	P O BOX 987	29379	SC	0	0	0	172.125	213	0	0	0	0	0	385.125	0	0	0	4228	3270	0	0	0	0	0	7498	0	92	22	53.625	4.5	0	172.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.5	75.375	3.125	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226.5	97.375	56.75	4.5	0	385.125	100	0	4209	6	13	0	0	4228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3256	14	0	0	0	3270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7465	20	13	0	0	7498	0	0	0	82	44	5	38	142	74.125	385.125	13	0	0	2195	2031	0	657	1945	657	7498	2	4	0	0	3	3	0	0	0	0	0	12	0	1	0	1	0	0	0	2/3/2010	2/3/2010		"JOE F. NICHOLS, UTILITIES DIRECTOR"	JNICHOLS@CITYOFUNION.ORG	8644291782	8644291721																																					
