RPTID	OPID	NAME	ACCITY	ACCOUNTY	ACSTATE	ACZIP	MPOST	SURVY	CLASS	SHORE	OFFAREA	BNUMB	OFFST	OCS	IFED	ITYPE	RUPLN	FAT	INJ	PRPTY	OPJUD	STHH	STMN	TELRT	INPRS	MXPRS	MPEST	TEST	DTHH	IDATE	CAUSE	PRTLK	PRTFL	PRTFO	MLKD	MLKDO	PRTSY	PRTSO	PRTYR	NMDIA	THK	SPEC	SMYS	SEAM	VALVE	MANU	MANYR	LOCLK	LOCLO	TELRN	TELID	DOR	LOC	ADESC	DESCO	CAUCR	CAUCO	COAT	PROT	CPYR	CAULK	DMGO	NOTIF	NOTDT	MARK	MRKTP	STAT	CAULC	CAULO	CTEST	TESTD	MED	MEDO	TMPS	LKPS	PNAME	PHONE	NARRATIVE
19840835	20245	UNITED TEXAS TRANSMISSION CO	HOUSTON	HARRIS	TX	77001	3.6	190+27	3	No	 	      	  	Null	No	OTHER	0	0	0	4060	Null	2	45	19840807	350	521	BY TEST	782	1000	19840807	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	1973	4.5	0.24	API-5L	3687	 	 	US STEEL	1973	OTHER	EXPOSED DITCH CROSSING	 					 		 		Null		OUTSIDE/THIRD PARTY	 	No		Yes	COMPANY SIGN WITHIN 20'	No		 	Null			 			"F. F. BLECHER, MGR. OF GOVT. CO"	 	COUNTY EMPLOYEE HIT EXPOSED PIPE IN DITCH WHILE MOWING. EMPLOYEE WAS DRIVING A FORD TRACTOR WITH RUBBER TIRES AND A SIDE BOOM CUTTER.
19840840	19325	TEXAS UTILITIES FUEL CO	DALLAS	COLLIN	TX	75201	"1,000' SOUTH J-108"	 	1	No	 	      	  	Null	No	LEAK	0	0	0	0	Yes	8	0	19840523	410	728	BY TEST	1092	1900	19840522	CORROSION	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	0	10	0.22	X42	0	 	 	 	1961	UNDER WATER	 	 			EXTERNALLY	LOCALIZED PITTING	 	GALVANIC	 	COATED	Yes	0	NO DATA	 	Null		Null	 	Null		 	Null			 			"J.A. SCHMULEN, SUPERVISOR REGUL"	 	TUFCO LEAK NO. LT-9-84
19840841	19325	TEXAS UTILITIES FUEL CO	DALLAS	LIMESTONE	TX	75201	ONE MILE EAST OF F24	 	1	No	 	      	  	Null	No	LEAK	0	0	0	0	Yes	4	0	19840524	360	988	BY TEST	1250	0	19840523	CORROSION	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	0	12	0.25	X42	0	 	 	 	1957	UNDER GROUND	 	 			EXTERNALLY	LOCALIZED PITTING	 	GALVANIC	 	COATED	Yes	0	NO DATA	 	Null		Null	 	Null		 	Null			 			"J.A. SCHMULEN, SUPERVISOR REGUL"	 	TUFCO LEAK CONTROL NUMBER LT-7-84
19840843	19325	TEXAS UTILITIES FUEL CO	FREESTONE	FREESTONE	TX	75201	HILL WELL #1	 	1	No	 	      	  	Null	No	LEAK	0	0	0	0	Yes	4	0		60	0	NO DATA	0	1022	19840525	CORROSION	GATHERING SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	0	3	0.24	 	0	 	 	 	0	ABOVE GROUND	 	 			INTERNALLY	LOCALIZED PITTING	 	OTHER	 	COATED	Yes	0	NO DATA	 	Null		Null	 	Null		 	Null			 			"J.A. SCHMULEN, SUPERVISOR REGUL"	 	TUFCO LEAK CONTROL NUMBER LG-1-84
19840863	13845	NORTHWEST PIPELINE CORP	RANGELY	GARFIELD	CO	     	241.65	12759+	1	No	 	      	  	Null	Yes	RUPTURE	13	0	0	175000	Null	1	0	19840608	550	809	BY CFR 192.619(a)(3)	0	2028	19840607	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	1956	26	0.28	API5LX	1124	 	 	CONSOLIDATED WESTERN	1955	ABOVE GROUND	 	 					 		 		Null		EARTH MOVEMENT: LANDSLIDE/WASHOUT	LANDSLIDE/WASHOUT	Null		Null	 	Null		 	Null			 			"MYRLE ANDERSON, COMPLIANCE SPEC"	8015846908	DAMAGE BY OUTSIDE FORCE. (LANDSLIDE/WASHOUT)
19840864	15493	PHILLIPS PETROLEUM CO	DOUGLAS	CONVERSE	WY	82601	DOUGLAS PLANT RESIDU	 	0	No	 	      	WY	Null	No	LEAK	0	0	0	800000	Yes	0	30	19840614	450	550	BY TEST	825	450	19840614	OTHER	TRANSMISSION SYSTEM	FITTING	"FITTING, 3/4"" THREADED"	STEEL	 	COMPRESSOR STATION	 	1970	0	0	 	0	 	 	 	0	ABOVE GROUND	 	 					 		 		Null		NO DATA	 	Null		Null	 	Null		 	Null			 			"R.D. GUNLIKSON, PROCESSING ENGI"	 	"FAILURE OF 3/4"" THREADED NIPPLE CAUSED GAS LEAK IN COMPRESSOR ROOM.  ENGINE IGNITION SYSTEM BELIEVED TO HAVE STARTED FIRE."
19840865	405	ANR PIPELINE CO (AMERICAN NATURAL RESOURCE)	HEATH TWP	ALLEGAN	MI	49419	978.5	9664+7	1	No	 	      	  	Null	No	RUPTURE	45	0	0	84000	Null	1	30	19840618	828	850	BY TEST	1152	1740	19840617	CORROSION	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	1949	0.02	0.25	API-5LX	52000	 	 	A.O.SMITH	1949	ABOVE GROUND	 	 			EXTERNALLY	LOCALIZED PITTING	 	OTHER	SHIELDED CORROSION	COATED	Yes	1952	NO DATA	 	Null		Null	 	Null		 	Null			 			"DONALD E. CROSS, OPER. ANALYST"	 	DAMAGE DUE TO CORROSION.
19840866	22182	WASHINGTON GAS LIGHT CO	 	MONTGOMERY	MD	20853	 	 	3	No	 	      	  	Null	No	OTHER	0	0	2	0	Null	0	1	19840619	0	385	BY TEST	385	1615	19840619	OTHER	TRANSMISSION SYSTEM	NO DATA	 	STEEL	 	OTHER	ELECTRIC LINES	1950	0	0.31	API5 GR X42	42000	 	 	YOUNGSTOWN SHEET & TUBE	0	ABOVE GROUND	 	 					 		 		Null		NO DATA	 	Null		Null	 	Null		 	Null			 			"ROBERT B. BRYAN, SAFETY SUPERVI"	 	"CONTRACTOR (D.A.FOSTER) AND WASHINGTON GAS LIGHT EMPLOYEES WERE OFFSETTING A 22"": WRAPPED STEEL MAIN, DUE TO ROAD CONSTRUCTION. THEY WERE REMOVING A 60' SECTION OF PIPE THAT WAS TO BE RELOCATED.  TWO CUTS WERE BEING MADE.  THE WEST END BEING CUT WITH REED PIPE CUTTERS, AND THE EAST END BEING CUT WITH A WACHS SAW.  WHEN THE PIPE WAS CUT ON BOTH ENDS, CONTACT WAS MADE ON THE EAST END TO THE EXISTING PIPE, AND RESIDUAL GAS IN THE 60' SECTION OF PIPE IGNITED CAUSING BURNS TO FOUR CONTRACT EMPLOYEES AND ONE GAS COMPANY EMPLOYEE WERE TREATED AND RELEASED.  TWO CONTRACTOR PERSONNEL WERE HOSPITALIZED.  THE SOURCE OF IGNITION APPEARED TO BEINDUCED A.C. CURRENT FROM THE NEARBY ELECTRIC LINES, WHICH CAUSED A SPARK WHEN THE EAST END MADE CONTACT."
19840867	9010	J - W OPERATING CO	SHREVEPORT	CADDO	LA	71118	347+27 TO 596+13-FAL	408+80	3	No	 	      	LA	Null	No	LEAK	0	0	0	0	Yes	7	0		700	1000	BY TEST	1490	730	19840624	CONSTRUCTION/MATERIAL DEFECT	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	1971	6.63	0.16	X-42	42000	 	 	 	0	ABOVE GROUND	 	 					 		 		Null		NO DATA	 	Null		Null	 	Null	CONSTRUCTION	 	Yes	19841224	WATER	 	24	1490	 	 	DAMAGE DUE TO CONSTRUCTION/MATERIAL DEFECT.
19840868	3260	DELTA NATURAL GAS CO INC	LONDON	LAUREL	KY	40391	 	 	1	No	 	      	  	Null	No	OTHER	0	0	0	0	Yes	0	40	19840625	275	340	BY TEST	511	1505	19840625	DAMAGE BY OUTSIDE FORCE	TRANSMISSION SYSTEM	BODY OF PIPE	 	STEEL	 	PIPELINE	 	1959	6	0.19	API5L	0	 	 	 	0	ABOVE GROUND	 	 					 		 		Null		OUTSIDE/THIRD PARTY	 	No		Yes	LINE MARKER POSTS	No		 	Null			 			"GEORGE S. BILLINGS, MGR.-GAS SU"	 	"A LAUREL COUNTY HIGHWAY DEPARTMENT ROADGRADER CAUSED A TEAR IN THE 6"" STEEL PIPELINE WHILE CLEANING DITCHES ON BURNETT ROAD, NEAR HWY. 229 IN LAUREL COUNTY, KENTUCKY."
